player,mat,inns,no,runs,hs,ave,bf,sr,100,50,0,4s,6s,team,match,unique_id
zeeshan maqsood,1,1,0,1,1,1,7,14.28,0,0,0,0,0,oman,australia,05-jun-24_australia
zeeshan maqsood,1,1,0,1,1,1,5,20,0,0,0,0,0,oman,england,13-jun-24_england
zeeshan maqsood,1,1,0,22,22,22,20,110,0,0,0,4,0,oman,namibia,02-jun-24_tied
zeeshan maqsood,1,1,0,3,3,3,4,75,0,0,0,0,0,oman,scotland,09-jun-24_scotland
adam zampa,1,1,0,9,9,9,7,128.57,0,0,0,1,0,australia,afghanistan,22-jun-24_afghanistan
adam zampa,1,-,-,-,-,-,-,-,-,-,-,-,-,australia,bangladesh,20-jun-24_australia
adam zampa,1,-,-,-,-,-,-,-,-,-,-,-,-,australia,england,08-jun-24_australia
adam zampa,1,-,-,-,-,-,-,-,-,-,-,-,-,australia,india,24-jun-24_india
adam zampa,1,-,-,-,-,-,-,-,-,-,-,-,-,australia,namibia,11-jun-24_australia
adam zampa,1,-,-,-,-,-,-,-,-,-,-,-,-,australia,oman,05-jun-24_australia
adam zampa,1,-,-,-,-,-,-,-,-,-,-,-,-,australia,scotland,15-jun-24_australia
craig young,1,-,-,-,-,-,-,-,-,-,-,-,-,ireland,canada,07-jun-24_canada
suryakumar yadav,1,1,0,53,53,53,28,189.28,0,1,0,5,3,india,afghanistan,20-jun-24_india
suryakumar yadav,1,1,0,31,31,31,16,193.75,0,0,0,3,2,india,australia,24-jun-24_india
suryakumar yadav,1,1,0,6,6,6,2,300,0,0,0,0,1,india,bangladesh,22-jun-24_india
suryakumar yadav,1,1,0,47,47,47,36,130.55,0,0,0,4,2,india,england,27-jun-24_india
suryakumar yadav,1,1,0,2,2,2,4,50,0,0,0,0,0,india,ireland,05-jun-24_india
suryakumar yadav,1,1,0,7,7,7,8,87.5,0,0,0,1,0,india,pakistan,09-jun-24_india
suryakumar yadav,1,1,0,3,3,3,4,75,0,0,0,0,0,india,south africa,29-jun-24_india
suryakumar yadav,1,1,1,50,50*,-,49,102.04,0,1,0,2,2,india,u.s.a.,12-jun-24_india
ma wood,1,-,-,-,-,-,-,-,-,-,-,-,-,england,australia,08-jun-24_australia
ma wood,1,-,-,-,-,-,-,-,-,-,-,-,-,england,oman,13-jun-24_england
ma wood,1,-,-,-,-,-,-,-,-,-,-,-,-,england,scotland,04-jun-24_no result
ma wood,1,-,-,-,-,-,-,-,-,-,-,-,-,england,south africa,21-jun-24_south africa
ma wood,1,-,-,-,-,-,-,-,-,-,-,-,-,england,west indies,19-jun-24_england
kane williamson,1,1,0,9,9,9,13,69.23,0,0,0,1,0,new zealand,afghanistan,07-jun-24_afghanistan
kane williamson,1,1,1,18,18*,-,17,105.88,0,0,0,2,0,new zealand,p.n.g.,17-jun-24_new zealand
kane williamson,1,1,0,1,1,1,2,50,0,0,0,0,0,new zealand,west indies,12-jun-24_west indies
kane williamson,1,-,-,-,-,-,-,-,-,-,-,-,-,new zealand,uganda,14-jun-24_new zealand
david wiese,1,1,0,1,1,1,7,14.28,0,0,0,0,0,namibia,australia,11-jun-24_australia
david wiese,1,1,0,27,27,27,12,225,0,0,0,2,2,namibia,england,15-jun-24_england
david wiese,1,1,1,9,9*,-,8,112.5,0,0,0,0,1,namibia,oman,02-jun-24_tied
david wiese,1,1,0,14,14,14,13,107.69,0,0,0,0,1,namibia,scotland,06-jun-24_scotland
