player,mat,inns,overs,mdns,runs,wkts,ave,econ,sr,4,5,team,match,unique_id
fayyaz butt,1,1,0.1,0,4,0,-,24,-,0,0,oman,england,13-jun-24_england
cja amini,1,1,0.2,0,2,0,-,6,-,0,0,p.n.g.,uganda,05-jun-24_uganda
jack brassell,1,1,0.4,0,14,0,-,21,-,0,0,namibia,australia,11-jun-24_australia
np kenjige,1,1,1,0,11,0,-,11,-,0,0,u.s.a.,west indies,21-jun-24_west indies
cja amini,1,1,1,0,5,0,-,5,-,0,0,p.n.g.,new zealand,17-jun-24_new zealand
cj anderson,1,1,1,0,6,0,-,6,-,0,0,u.s.a.,pakistan,06-jun-24_tied
cj anderson,1,1,1,0,17,0,-,17,-,0,0,u.s.a.,south africa,19-jun-24_south africa
shoaib khan,1,1,1,0,20,0,-,20,-,0,0,oman,scotland,09-jun-24_scotland
s bau,1,1,1,0,18,0,-,18,-,0,0,p.n.g.,west indies,02-jun-24_west indies
abinash bohara,1,1,1,0,10,0,-,10,-,0,0,nepal,bangladesh,16-jun-24_bangladesh
curtis campher,1,1,1,0,4,0,-,4,-,0,0,ireland,india,05-jun-24_india
rl chase,1,1,1,0,4,0,-,4,-,0,0,west indies,new zealand,12-jun-24_west indies
shivam dube,1,1,1,0,11,0,-,11,-,0,0,india,u.s.a.,12-jun-24_india
gerhard erasmus,1,1,1,0,6,0,-,6,-,0,0,namibia,australia,11-jun-24_australia
cn greaves,1,1,1,0,4,0,-,4,-,0,0,scotland,australia,15-jun-24_australia
cn greaves,1,1,1,0,2,1,2,2,6,0,0,scotland,oman,09-jun-24_scotland
gulbadin naib,1,1,1,0,8,0,-,8,-,0,0,afghanistan,south africa,26-jun-24_south africa
shakeel ahmed,1,1,1,0,7,0,-,7,-,0,0,pakistan,india,09-jun-24_india
shakeel ahmed,1,1,1,0,10,0,-,10,-,0,0,pakistan,u.s.a.,06-jun-24_tied
will jacks,1,1,1,0,22,0,-,22,-,0,0,england,australia,08-jun-24_australia
ravindra jadeja,1,1,1,0,17,0,-,17,-,0,0,india,australia,24-jun-24_india
ravindra jadeja,1,1,1,0,7,0,-,7,-,0,0,india,ireland,05-jun-24_india
