Team 1,Team 2,Winner,Margin,Ground,Match Date,unique_id
india,south africa,india,7 runs,bridgetown,29-Jun-24,29-jun-24_india
england,india,india,68 runs,providence,27-Jun-24,27-jun-24_india
afghanistan,south africa,south africa,9 wickets,tarouba,26-Jun-24,26-jun-24_south africa
afghanistan,bangladesh,afghanistan,8 runs,kingstown,24-Jun-24,24-jun-24_afghanistan
australia,india,india,24 runs,gros islet,24-Jun-24,24-jun-24_india
west indies,south africa,south africa,3 wickets,north sound,23-Jun-24,23-jun-24_south africa
england,u.s.a.,england,10 wickets,bridgetown,23-Jun-24,23-jun-24_england
afghanistan,australia,afghanistan,21 runs,kingstown,22-Jun-24,22-jun-24_afghanistan
bangladesh,india,india,50 runs,north sound,22-Jun-24,22-jun-24_india
west indies,u.s.a.,west indies,9 wickets,bridgetown,21-Jun-24,21-jun-24_west indies
england,south africa,south africa,7 runs,gros islet,21-Jun-24,21-jun-24_south africa
australia,bangladesh,australia,28 runs,north sound,20-Jun-24,20-jun-24_australia
afghanistan,india,india,47 runs,bridgetown,20-Jun-24,20-jun-24_india
west indies,england,england,8 wickets,gros islet,19-Jun-24,19-jun-24_england
south africa,u.s.a.,south africa,18 runs,north sound,19-Jun-24,19-jun-24_south africa
west indies,afghanistan,west indies,104 runs,gros islet,17-Jun-24,17-jun-24_west indies
new zealand,p.n.g.,new zealand,7 wickets,tarouba,17-Jun-24,17-jun-24_new zealand
netherlands,sri lanka,sri lanka,83 runs,gros islet,16-Jun-24,16-jun-24_sri lanka
bangladesh,nepal,bangladesh,21 runs,kingstown,16-Jun-24,16-jun-24_bangladesh
ireland,pakistan,pakistan,3 wickets,lauderhill,16-Jun-24,16-jun-24_pakistan
australia,scotland,australia,5 wickets,gros islet,15-Jun-24,15-jun-24_australia
england,namibia,england,41 runs,north sound,15-Jun-24,15-jun-24_england
new zealand,uganda,new zealand,9 wickets,tarouba,14-Jun-24,14-jun-24_new zealand
nepal,south africa,south africa,1 run,kingstown,14-Jun-24,14-jun-24_south africa
afghanistan,p.n.g.,afghanistan,7 wickets,tarouba,13-Jun-24,13-jun-24_afghanistan
england,oman,england,8 wickets,north sound,13-Jun-24,13-jun-24_england
bangladesh,netherlands,bangladesh,25 runs,kingstown,13-Jun-24,13-jun-24_bangladesh
west indies,new zealand,west indies,13 runs,tarouba,12-Jun-24,12-jun-24_west indies
u.s.a.,india,india,7 wickets,new york,12-Jun-24,12-jun-24_india
australia,namibia,australia,9 wickets,north sound,11-Jun-24,11-jun-24_australia
canada,pakistan,pakistan,7 wickets,new york,11-Jun-24,11-jun-24_pakistan
bangladesh,south africa,south africa,4 runs,new york,10-Jun-24,10-jun-24_south africa
oman,scotland,scotland,7 wickets,north sound,09-Jun-24,09-jun-24_scotland
india,pakistan,india,6 runs,new york,09-Jun-24,09-jun-24_india
west indies,uganda,west indies,134 runs,providence,08-Jun-24,08-jun-24_west indies
australia,england,australia,36 runs,bridgetown,08-Jun-24,08-jun-24_australia
netherlands,south africa,south africa,4 wickets,new york,08-Jun-24,08-jun-24_south africa
bangladesh,sri lanka,bangladesh,2 wickets,dallas,07-Jun-24,07-jun-24_bangladesh
afghanistan,new zealand,afghanistan,84 runs,providence,07-Jun-24,07-jun-24_afghanistan
canada,ireland,canada,12 runs,new york,07-Jun-24,07-jun-24_canada
namibia,scotland,scotland,5 wickets,bridgetown,06-Jun-24,06-jun-24_scotland
u.s.a.,pakistan,tied,-,dallas,06-Jun-24,06-jun-24_tied
australia,oman,australia,39 runs,bridgetown,05-Jun-24,05-jun-24_australia
p.n.g.,uganda,uganda,3 wickets,providence,05-Jun-24,05-jun-24_uganda
india,ireland,india,8 wickets,new york,05-Jun-24,05-jun-24_india
nepal,netherlands,netherlands,6 wickets,dallas,04-Jun-24,04-jun-24_netherlands
england,scotland,no result,-,bridgetown,04-Jun-24,04-jun-24_no result
afghanistan,uganda,afghanistan,125 runs,providence,03-Jun-24,03-jun-24_afghanistan
south africa,sri lanka,south africa,6 wickets,new york,03-Jun-24,03-jun-24_south africa
namibia,oman,tied,-,bridgetown,02-Jun-24,02-jun-24_tied
west indies,p.n.g.,west indies,5 wickets,providence,02-Jun-24,02-jun-24_west indies
u.s.a.,canada,u.s.a.,7 wickets,dallas,01-Jun-24,01-jun-24_u.s.a.
