Name,Batting Order,Batting,Bowling,Country,IsCaptain
aaron johnson,batter,right hand bat,right arm offbreak,canada,0
aasif sheikh ,wicketkeeper batter,right hand bat,,nepal,0
abinash bohara,bowler,right hand bat,right arm medium,nepal,0
adam zampa,bowler,right hand bat,legbreak googly,australia,0
adil rashid,bowler,right hand bat,legbreak,england,0
andy balbirnie,batter,right hand bat,right arm offbreak,ireland,0
anil sah,batting allrounder,right hand bat,right arm offbreak,nepal,0
aqib ilyas,top order batter,right hand bat,"right arm offbreak, legbreak googly",oman,0
arshdeep singh,bowler,left hand bat,left arm medium fast,india,0
aryan dutt,bowler,right hand bat,right arm offbreak,netherlands,0
ashton agar,bowler,left hand bat,slow left arm orthodox,australia,0
axar patel,bowling allrounder,left hand bat,slow left arm orthodox,india,0
ayaan khan,allrounder,left hand bat,slow left arm orthodox,oman,0
azmatullah omarzai,allrounder,right hand bat,right arm medium fast,afghanistan,0
barry mccarthy,bowler,right hand bat,right arm fast medium,ireland,0
bas de leede,batting allrounder,right hand bat,right arm fast medium,netherlands,0
ben duckett,top order,left hand bat,right arm offbreak,england,0
ben shikongo,bowler,right hand bat,right arm medium fast,namibia,0
ben white,bowler,right hand bat,legbreak,ireland,0
bernard scholtz,bowler,right hand bat,slow left arm orthodox,namibia,0
bilal khan,bowler,left hand bat,left arm medium fast,oman,0
cameron green,batting allrounder,right hand bat,right arm fast medium,australia,0
chris jordan,bowler,right hand bat,right arm fast medium,england,0
craig young,bowler,right hand bat,right arm fast medium,ireland,0
curtis campher,allrounder,right hand bat,right arm medium fast,ireland,0
daryl mitchell,middle order batter,right hand bat,right arm medium fast,new zealand,0
david warner,opening,left hand bat,legbreak,australia,0
david wiese,allrounder,right hand bat,right arm medium fast,namibia,0
devon conway ,wicketkeeper batter,left hand bat,right arm medium,new zealand,0
dilon heyliger,bowler,right hand bat,right arm medium,canada,0
dilpreet bajwa,allrounder,right hand bat,right arm offbreak,canada,0
dipendra singh airee,middle order batter,right hand bat,"right arm medium, right arm offbreak",nepal,0
dylan leicher,middle order batter,right hand bat,right arm medium,namibia,0
fareed ahmad,bowler,left hand bat,left arm fast medium,afghanistan,0
fayyaz butt,bowler,right hand bat,right arm medium fast,oman,0
fazalhaq farooqi,bowler,right hand bat,left arm fast medium,afghanistan,0
finn allen,top order batter,right hand bat,,new zealand,0
gareth delany,batting allrounder,right hand bat,legbreak googly,ireland,0
george dockrell,allrounder,right hand bat,slow left arm orthodox,ireland,0
gerhard erasmus,allrounder,right hand bat,right arm offbreak,namibia,0
glenn maxwell,batting allrounder,right hand bat,right arm offbreak,australia,0
glenn phillips,batter,right hand bat,right arm offbreak,new zealand,0
graham hume,bowler,left hand bat,right arm fast medium,ireland,0
gulbadin naib,batting allrounder,right hand bat,right arm medium fast,afghanistan,0
gulsan jha,bowler,left hand bat,right arm medium,nepal,0
hardik pandya (vc),allrounder,right hand bat,right arm medium fast,india,0
harry brook,batter,right hand bat,right arm medium,england,0
harry tector,middle order batter,right hand bat,right arm offbreak,ireland,0
hazratullah zazai,opening,left hand bat,slow left arm orthodox,afghanistan,0
ibrahim zadran,opening,right hand bat,right arm medium fast,afghanistan,0
jack brassell,bowler,right hand bat,right arm medium,namibia,0
jacob duffy,bowler,right hand bat,right arm medium fast,new zealand,0
jaker ali,batter,right hand bat,-,bangladesh,0
jan frylinck,allrounder,left hand bat,left arm fast medium,namibia,0
jasprit bumrah,bowler,right hand bat,right arm fast,india,0
jeremy gordon,bowler,right hand bat,right arm fast medium,canada,0
jj smit (vc),bowling allrounder,right hand bat,left arm medium fast,namibia,0
jofra archer,bowler,right hand bat,right arm fast,england,0
jonny bairstow,wicketkeeper,right hand bat,right arm medium,england,0
jos buttler,wicketkeeper,right hand bat,-,england,0
josh hazlewood,bowler,left hand bat,right arm fast medium,australia,0
josh inglis,wicketkeeper,right hand bat,-,australia,0
josh little,bowler,right hand bat,left arm fast medium,ireland,0
jp kotze,batter,left hand bat,,namibia,0
junaid siddiqui,allrounder,right hand bat,legbreak,canada,0
kaleem sana,bowler,right hand bat,left arm medium fast,canada,0
kaleemullah,bowler,right hand bat,right arm medium,oman,0
kamal airee,bowler,right hand bat,right arm medium,nepal,0
kane williamson,top order batter,right hand bat,right arm offbreak,new zealand,0
karan kc,allrounder,right hand bat,right arm fast,nepal,0
karim janat,bowling allrounder,right hand bat,right arm medium,afghanistan,0
kashyap prajapati,top order batter,right hand bat,right arm offbreak,oman,0
khalid kail,middle order batter,right hand bat,,oman,0
kuldeep yadav,bowler,left hand bat,left arm wrist spin,india,0
